HUGO symbol	Entrez Gene ID	cohort
KRTAP19-6	337973	PANCAN
LGALS2	3957	PANCAN
LIN7B	64130	PANCAN
LPGAT1	9926	PANCAN
LRCH3	84859	PANCAN
LRRC34	151827	PANCAN
LRRC70	100130733	PANCAN
LRRD1	401387	PANCAN
LUC7L2	100996928	PANCAN
LUC7L3	51747	PANCAN
LY96	23643	PANCAN
LYRM4	57128	PANCAN
LYSMD2	256586	PANCAN
LZIC	84328	PANCAN
MANSC4	100287284	PANCAN
MAP3K1	4214	PANCAN
MAP9	79884	PANCAN
MAPK1	5594	PANCAN
MAPKAPK5	8550	PANCAN
MARCH3	115123	PANCAN
MARCH7	64844	PANCAN
MAX	4149	PANCAN
MCMDC2	157777	PANCAN
MCTS1	28985	PANCAN
MDK	4192	PANCAN
MED6	10001	PANCAN
METTL12	751071	PANCAN
METTL14	57721	PANCAN
METTL6	131965	PANCAN
MGST1	4257	PANCAN
MINPP1	9562	PANCAN
MIS12	79003	PANCAN
MND1	84057	PANCAN
MPC2	25874	PANCAN
MPHOSPH10	10199	PANCAN
MRE11A	4361	PANCAN
MRPL24	79590	PANCAN
MRPL47	57129	PANCAN
MS4A4E	643680	PANCAN
MSANTD4	84437	PANCAN
MSH2	4436	PANCAN
MSMO1	6307	PANCAN
MSRB2	22921	PANCAN
MTDH	92140	PANCAN
MYCL	4610	PANCAN
NAMPT	10135	PANCAN
NAP1L1	4673	PANCAN
NAPB	63908	PANCAN
NDUFC2	4718	PANCAN
NFE2L2	4780	PANCAN
NHLRC4	283948	PANCAN
NIT1	4817	PANCAN
NKTR	4820	PANCAN
NODAL	4838	PANCAN
NONO	4841	PANCAN
NOP10	55505	PANCAN
NPS	594857	PANCAN
NRAS	4893	PANCAN
NREP	9315	PANCAN
NSA2	10412	PANCAN
NUFIP1	26747	PANCAN
OR2B2	81697	PANCAN
OSGEPL1	64172	PANCAN
PAFAH1B1	5048	PANCAN
PAGE1	8712	PANCAN
PAWR	5074	PANCAN
PBRM1	55193	PANCAN
PCNA	5111	PANCAN
PEX12	5193	PANCAN
PHGR1	644844	PANCAN
PHLDA2	7262	PANCAN
PIBF1	10464	PANCAN
PIK3C3	5289	PANCAN
PIK3CA	5290	PANCAN
PIK3R1	5295	PANCAN
PMCH	5367	PANCAN
PNISR	25957	PANCAN
POLD3	10714	PANCAN
POLR2D	5433	PANCAN
PP2D1	151649	PANCAN
PPIL4	85313	PANCAN
PPP1R14A	94274	PANCAN
PPP3R1	5534	PANCAN
PRDX6	9588	PANCAN
PRNT	149830	PANCAN
PRTN3	5657	PANCAN
PSIP1	11168	PANCAN
PSMA7	5688	PANCAN
PTEN	5728	PANCAN
PTMA	5757	PANCAN
PTRHD1	391356	PANCAN
RAB11A	8766	PANCAN
RAD1	5810	PANCAN
RAD18	56852	PANCAN
RAD51AP1	10635	PANCAN
RALA	5898	PANCAN
RANBP3L	202151	PANCAN
RAP1A	5906	PANCAN
RASA1	5921	PANCAN
RB1	5925	PANCAN
RBM43	375287	PANCAN
RBM44	375316	PANCAN
RBM7	10179	PANCAN
REST	5978	PANCAN
RGPD1	400966	PANCAN
RGPD2	729857	PANCAN
RNF169	254225	PANCAN
RNF38	152006	PANCAN
RNF43	54894	PANCAN
ROCK1	6093	PANCAN
ROCK2	9475	PANCAN
RPL22	6146	PANCAN
RPL26	6154	PANCAN
RPL26L1	51121	PANCAN
RPL27	6155	PANCAN
RPL34	6164	PANCAN
RPL36AL	6166	PANCAN
RPS24	6229	PANCAN
RSRC1	51319	PANCAN
S100A4	6275	PANCAN
SAA1	6288	PANCAN
SAMHD1	25939	PANCAN
SEC11A	23478	PANCAN
SEC61B	10952	PANCAN
SERAC1	84947	PANCAN
SET	6418	PANCAN
SETD2	29072	PANCAN
SLBP	7884	PANCAN
SLITRK6	84189	PANCAN
SMAD2	4087	PANCAN
SMAD4	4089	PANCAN
SMIM15	643155	PANCAN
SMIM21	284274	PANCAN
SNAP23	8773	PANCAN
SNRNP27	11017	PANCAN
SNRNP48	154007	PANCAN
SNRPC	6631	PANCAN
SOS1	6654	PANCAN
SPCS1	28972	PANCAN
SPOP	8405	PANCAN
SPRED1	161742	PANCAN
SPRR2D	6703	PANCAN
